,,,Args,,,,,,,
NR,Syscall,# Args,a1,a2,a3,a4,a5,a6,Aliases,Unused Aliases
129,rt_sigqueueinfo,,,,,,,,,
130,rt_sigsuspend,2,sigset_t*,size_t,,,,,,
131,sigaltstack,2,stack_t*,stack_t*,,,,,,
132,utime,2,char*,struct utimbuf*,,,,,,
133,mknod,,,,,,,,,
134,uselib,,,,,,,,,
135,personality,,,,,,,,,
136,ustat,,,,,,,,,
137,statfs,2,char*,struct statfs*,,,,,,
138,fstatfs,2,int,struct statfs*,,,,,,
139,sysfs,,,,,,,,,
140,getpriority,,,,,,,,,
141,setpriority,,,,,,,,,
142,sched_setparam,,,,,,,,,
143,sched_getparam,,,,,,,,,
144,sched_setscheduler,,,,,,,,,
145,sched_getscheduler,,,,,,,,,
146,sched_get_priority_max,,,,,,,,,
147,sched_get_priority_min,,,,,,,,,
148,sched_rr_get_interval,,,,,,,,,
149,mlock,,,,,,,,,
150,munlock,,,,,,,,,
151,mlockall,,,,,,,,,
152,munlockall,,,,,,,,,
153,vhangup,,,,,,,,,
154,modify_ldt,,,,,,,,,
155,pivot_root,,,,,,,,,
156,_sysctl,,,,,,,,,
157,prctl,,,,,,,,,
158,arch_prctl,,,,,,,,,
159,adjtimex,,,,,,,,,
160,setrlimit,,,,,,,,,
161,chroot,,,,,,,,,
162,sync,,,,,,,,,
163,acct,,,,,,,,,
164,settimeofday,,,,,,,,,
165,mount,,,,,,,,,
166,umount2,,,,,,,,,
167,swapon,,,,,,,,,
168,swapoff,,,,,,,,,
169,reboot,,,,,,,,,
170,sethostname,,,,,,,,,
171,setdomainname,,,,,,,,,
172,iopl,,,,,,,,,
173,ioperm,,,,,,,,,
174,create_module,,,,,,,,,
175,init_module,,,,,,,,,
176,delete_module,,,,,,,,,
177,get_kernel_syms,,,,,,,,,
178,query_module,,,,,,,,,
179,quotactl,,,,,,,,,
180,nfsservctl,,,,,,,,,
181,getpmsg,,,,,,,,,
182,putpmsg,,,,,,,,,
183,afs_syscall,,,,,,,,,
184,tuxcall,,,,,,,,,
185,security,,,,,,,,,
186,gettid,,,,,,,,,
187,readahead,,,,,,,,,
188,setxattr,,,,,,,,,
189,lsetxattr,,,,,,,,,
190,fsetxattr,,,,,,,,,
191,getxattr,,,,,,,,,
192,lgetxattr,,,,,,,,,
193,fgetxattr,,,,,,,,,
194,listxattr,,,,,,,,,
195,llistxattr,,,,,,,,,
196,flistxattr,,,,,,,,,
197,removexattr,,,,,,,,,
198,lremovexattr,,,,,,,,,
199,fremovexattr,,,,,,,,,
200,tkill,,,,,,,,,
201,time,,,,,,,,,
202,futex,,,,,,,,,
203,sched_setaffinity,,,,,,,,,
204,sched_getaffinity,,,,,,,,,
205,set_thread_area,,,,,,,,,
206,io_setup,,,,,,,,,
207,io_destroy,,,,,,,,,
208,io_getevents,,,,,,,,,
209,io_submit,,,,,,,,,
210,io_cancel,,,,,,,,,
211,get_thread_area,,,,,,,,,
212,lookup_dcookie,,,,,,,,,
213,epoll_create,,,,,,,,,
214,epoll_ctl_old,,,,,,,,,
215,epoll_wait_old,,,,,,,,,
216,remap_file_pages,,,,,,,,,
217,getdents64,3,int,struct dirent*,int,,,,,
218,set_tid_address,,,,,,,,,
219,restart_syscall,,,,,,,,,
220,semtimedop,,,,,,,,,
221,fadvise,4,int,off_t,off_t,int,,,,fadvise64
222,timer_create,,,,,,,,,
223,timer_settime,,,,,,,,,
224,timer_gettime,,,,,,,,,
225,timer_getoverrun,,,,,,,,,
226,timer_delete,,,,,,,,,
227,clock_settime,,,,,,,,,
228,clock_gettime,2,clockid_t,struct timespec*,,,,,,
229,clock_getres,,,,,,,,,
230,clock_nanosleep,4,clockid_t,int,struct timespec*,struct timespec*,,,,
231,exit_group,1,int,,,,,,,
232,epoll_wait,,,,,,,,,
233,epoll_ctl,,,,,,,,,
234,tgkill,,,,,,,,,
235,utimes,,,,,,,,,
236,vserver,,,,,,,,,
237,mbind,,,,,,,,,
238,set_mempolicy,,,,,,,,,
239,get_mempolicy,,,,,,,,,
240,mq_open,,,,,,,,,
241,mq_unlink,,,,,,,,,
242,mq_timedsend,,,,,,,,,
243,mq_timedreceive,,,,,,,,,
244,mq_notify,,,,,,,,,
245,mq_getsetattr,,,,,,,,,
246,kexec_load,,,,,,,,,
247,waitid,,,,,,,,,
248,add_key,,,,,,,,,
249,request_key,,,,,,,,,
250,keyctl,,,,,,,,,
251,ioprio_set,,,,,,,,,
252,ioprio_get,,,,,,,,,
253,inotify_init,,,,,,,,,
254,inotify_add_watch,,,,,,,,,
255,inotify_rm_watch,,,,,,,,,
256,migrate_pages,,,,,,,,,
257,openat,4,int,char*,int,mode_t,,,,
258,mkdirat,,,,,,,,,
259,mknodat,,,,,,,,,
260,fchownat,,,,,,,,,
261,futimesat,,,,,,,,,
262,newfstatat,,,,,,,,fstatat,
263,unlinkat,3,int,char*,int,,,,,
264,renameat,,,,,,,,,
265,linkat,,,,,,,,,
266,symlinkat,,,,,,,,,
267,readlinkat,,,,,,,,,
268,fchmodat,,,,,,,,,
269,faccessat,4,int,char*,int,int,,,,
270,pselect6,,,,,,,,,
271,ppoll,,,,,,,,,
272,unshare,,,,,,,,,
273,set_robust_list,,,,,,,,,
274,get_robust_list,,,,,,,,,
275,splice,,,,,,,,,
276,tee,,,,,,,,,
277,sync_file_range,,,,,,,,,
278,vmsplice,,,,,,,,,
279,move_pages,,,,,,,,,
280,utimensat,4,int,char*,struct timespec*,int,,,,
281,epoll_pwait,,,,,,,,,
282,signalfd,,,,,,,,,
283,timerfd_create,,,,,,,,,
284,eventfd,1,int,,,,,,,
285,fallocate,,,,,,,,,
286,timerfd_settime,,,,,,,,,
287,timerfd_gettime,,,,,,,,,
288,accept4,,,,,,,,,
289,signalfd4,,,,,,,,,
290,eventfd2,2,int,int,,,,,,
291,epoll_create1,,,,,,,,,
292,dup3,,,,,,,,,
293,pipe2,2,int*,int,,,,,,
294,inotify_init1,,,,,,,,,
295,preadv,,,,,,,,,
296,pwritev,,,,,,,,,
297,rt_tgsigqueueinfo,,,,,,,,,
298,perf_event_open,,,,,,,,,
299,recvmmsg,,,,,,,,,
300,fanotify_init,,,,,,,,,
301,fanotify_mark,,,,,,,,,
302,prlimit64,,,,,,,,,
303,name_to_handle_at,,,,,,,,,
304,open_by_handle_at,,,,,,,,,
305,clock_adjtime,,,,,,,,,
306,syncfs,,,,,,,,,
307,sendmmsg,,,,,,,,,
308,setns,,,,,,,,,
309,getcpu,,,,,,,,,
310,process_vm_readv,,,,,,,,,
311,process_vm_writev,,,,,,,,,
312,kcmp,,,,,,,,,
313,finit_module,,,,,,,,,
314,sched_setattr,,,,,,,,,
315,sched_getattr,,,,,,,,,
316,renameat2,,,,,,,,,
317,seccomp,,,,,,,,,
318,getrandom,,,,,,,,,
319,memfd_create,,,,,,,,,
320,kexec_file_load,,,,,,,,,
321,bpf,,,,,,,,,
322,execveat,,,,,,,,,
323,userfaultfd,,,,,,,,,
324,membarrier,,,,,,,,,
325,mlock2,,,,,,,,,
326,copy_file_range,,,,,,,,,
327,preadv2,,,,,,,,,
328,pwritev2,,,,,,,,,
329,pkey_mprotect,,,,,,,,,
330,pkey_alloc,,,,,,,,,
331,pkey_free,,,,,,,,,
332,statx,5,int,char*,int,int,struct statx*,,,
333,io_pgetevents,,,,,,,,,
334,rseq,,,,,,,,,
